PokemonName,BWSpr#,Home#,PokemonDbName,ShowdownName,PorygonName,Type1,Type2,Ability1,Ablity2,AbilityHidden,HP,Atk,Def,SpA,SpD,Spe,HpWall,PhysAttacker,SpecAttacker,PhysDefender,SpecDefender,SpeedAbility,Fast,Pivot,Price,IconLink
Bulbasaur,001,1,bulbasaur,bulbasaur,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/001.png
Ivysaur,002,2,ivysaur,ivysaur,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/002.png
Venusaur,003,3,venusaur,venusaur,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,9,https://www.serebii.net/pokedex-swsh/icon/003.png
Mega Venusaur,003-m,3-1,venusaur-mega,venusaur-mega,Venusaur-Mega,Grass,Poison,Thick Fat,,,80,100,123,122,120,80,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,13,https://www.serebii.net/pokedex-swsh/icon/003-m.png
Venusaur-Gmax,003-gi,3-gmax,venusaur-gigantamax,venusaur-gmax,Venusaur-Gmax,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,https://www.serebii.net/pokedex-swsh/icon/003-gi.png
Charmander,004,4,charmander,charmander,Charmander,Fire,,Blaze,,Solar Power,39,52,43,60,50,65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/004.png
Charmeleon,005,5,charmeleon,charmeleon,Charmeleon,Fire,,Blaze,,Solar Power,58,64,58,80,65,80,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,https://www.serebii.net/pokedex-swsh/icon/005.png
Charizard,006,6,charizard,charizard,Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6,https://www.serebii.net/pokedex-swsh/icon/006.png
Mega Charizard X,006-mx,6-1,charizard-mega-x,charizard-megax,Charizard-Mega-X,Fire,Dragon,Tough Claws,,,78,130,111,130,85,100,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,https://www.serebii.net/pokedex-swsh/icon/006-mx.png
Mega Charizard Y,006-my,6-2,charizard-mega-y,charizard-megay,Charizard-Mega-Y,Fire,Flying,Drought,,,78,104,78,159,115,100,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,16,https://www.serebii.net/pokedex-swsh/icon/006-my.png
